Time,Sensor,Range,Range Variance,Azimuth,Azimuth Variance,Elevation,Elevation Variance,X,Y,Z
0.0,S1,100.2215326117376,0.010000000000000002,1.5674989632949567,3.046174197867086e-06,0.05263542429209055,3.046174197867086e-06,100.0,0.0,5.0
1.0,S1,100.04565342869073,0.010000000000000002,1.5676448289417853,3.046174197867086e-06,0.05155088356863428,3.046174197867086e-06,99.99994500666055,0.0,4.950009085082417
2.0,S1,100.29287786428303,0.010000000000000002,1.5685202791375872,3.046174197867086e-06,0.04846966595498229,3.046174197867086e-06,99.99978005332873,0.0,4.900036380652006
3.0,S1,99.98516819414387,0.010000000000000002,1.5706872697252303,3.046174197867086e-06,0.04524342848884094,3.046174197867086e-06,99.99950518013412,0.0,4.850081947175732
4.0,S1,99.98678949098246,0.010000000000000002,1.5693188284060897,3.046174197867086e-06,0.048870383408477214,3.046174197867086e-06,99.99912042733934,0.0,4.800145845098454
5.0,S1,100.20079950008898,0.010000000000000002,1.5718790692864155,3.046174197867086e-06,0.048777291904131555,3.046174197867086e-06,99.99862583533991,0.0,4.750228134842849
6.0,S1,100.05094700751845,0.010000000000000002,1.5712595597746615,3.046174197867086e-06,0.0485956739307959,3.046174197867086e-06,99.99802144466427,0.0,4.70032887680934
7.0,S1,100.12041362576399,0.010000000000000002,1.5697783346321306,3.046174197867086e-06,0.04866222959215883,3.046174197867086e-06,99.99730729597377,0.0,4.650448131376023
8.0,S1,100.07931450975944,0.010000000000000002,1.5714717556145144,3.046174197867086e-06,0.044888463867866296,3.046174197867086e-06,99.9964834300625,0.0,4.600585958898595
9.0,S1,100.16697166715363,0.010000000000000002,1.5732779559847574,3.046174197867086e-06,0.04501486390521412,3.046174197867086e-06,99.99554988785732,0.0,4.550742419710278
10.0,S1,100.01215664833607,0.010000000000000002,1.5711539906947096,3.046174197867086e-06,0.04484724853045416,3.046174197867086e-06,99.99450671041787,0.0,4.500917574121747
11.0,S1,99.95181814900361,0.010000000000000002,1.5704588880894643,3.046174197867086e-06,0.043619247667101006,3.046174197867086e-06,99.99335393893632,0.0,4.451111482421061
12.0,S1,100.19202306591983,0.010000000000000002,1.5705246850805703,3.046174197867086e-06,0.04252824243214416,3.046174197867086e-06,99.99209161473756,0.0,4.4013242048735846
13.0,S1,100.06349992972892,0.010000000000000002,1.5686050421604347,3.046174197867086e-06,0.04332192121762353,3.046174197867086e-06,99.99071977927899,0.0,4.351555801721916
14.0,S1,99.91031558114243,0.010000000000000002,1.5671168665249877,3.046174197867086e-06,0.04138621585156766,3.046174197867086e-06,99.98923847415053,0.0,4.3018063331858185
15.0,S1,100.05866525069465,0.010000000000000002,1.5690066207469802,3.046174197867086e-06,0.0411751338230225,3.046174197867086e-06,99.98764774107455,0.0,4.252075859462142
16.0,S1,100.08283736588044,0.010000000000000002,1.5694790373228045,3.046174197867086e-06,0.042511133506282724,3.046174197867086e-06,99.98594762190582,0.0,4.202364440724755
17.0,S1,100.17707971699411,0.010000000000000002,1.570873005880933,3.046174197867086e-06,0.04348808202106098,3.046174197867086e-06,99.9841381586315,0.0,4.152672137124466
18.0,S1,100.05865615893977,0.010000000000000002,1.5707389593702146,3.046174197867086e-06,0.04191519260686382,3.046174197867086e-06,99.98221939337101,0.0,4.102999008788959
19.0,S1,99.98542522225313,0.010000000000000002,1.5671034199178846,3.046174197867086e-06,0.040663464519234034,3.046174197867086e-06,99.9801913683761,0.0,4.0533451158227125
20.0,S1,99.97590494415655,0.010000000000000002,1.5699901154720504,3.046174197867086e-06,0.03935264285467068,3.046174197867086e-06,99.97805412603063,0.0,4.003710518306929
21.0,S1,100.04526959806262,0.010000000000000002,1.5698911457723597,3.046174197867086e-06,0.04223934639371159,3.046174197867086e-06,99.97580770885067,0.0,3.954095276299466
22.0,S1,100.05559483971312,0.010000000000000002,1.5715243563136154,3.046174197867086e-06,0.04034053191163643,3.046174197867086e-06,99.9734521594844,0.0,3.9044994498347623
23.0,S1,99.95119983712878,0.010000000000000002,1.5705860258090965,3.046174197867086e-06,0.03673072723257705,3.046174197867086e-06,99.97098752071203,0.0,3.8549230989237597
24.0,S1,100.04099957411267,0.010000000000000002,1.5723440560757582,3.046174197867086e-06,0.03544905842070259,3.046174197867086e-06,99.96841383544576,0.0,3.805366283553838
25.0,S1,99.84940339409978,0.010000000000000002,1.5690966743808499,3.046174197867086e-06,0.03895593769725351,3.046174197867086e-06,99.96573114672972,0.0,3.755829063688737
26.0,S1,99.76173837203206,0.010000000000000002,1.570344199543554,3.046174197867086e-06,0.03620370295681537,3.046174197867086e-06,99.96293949773998,0.0,3.7063114992684874
27.0,S1,100.15576349849448,0.010000000000000002,1.570357375206873,3.046174197867086e-06,0.03712427390416432,3.046174197867086e-06,99.96003893178442,0.0,3.656813650209336
28.0,S1,99.98089354558441,0.010000000000000002,1.5726303545660452,3.046174197867086e-06,0.03451287428239764,3.046174197867086e-06,99.95702949230275,0.0,3.607335576403673
29.0,S1,99.78155729810408,0.010000000000000002,1.5688762085566181,3.046174197867086e-06,0.036332573178689695,3.046174197867086e-06,99.95391122286637,0.0,3.5578773377199635
30.0,S1,99.88940360586405,0.010000000000000002,1.5735038177528031,3.046174197867086e-06,0.034061885280631816,3.046174197867086e-06,99.95068416717837,0.0,3.508438994002669
31.0,S1,100.00378539088598,0.010000000000000002,1.5742142243684365,3.046174197867086e-06,0.0356356349860469,3.046174197867086e-06,99.9473483690735,0.0,3.4590206050721792
32.0,S1,99.9067110957288,0.010000000000000002,1.573005156971308,3.046174197867086e-06,0.03632521105114757,3.046174197867086e-06,99.94390387251805,0.0,3.4096222307247395
33.0,S1,99.91709540160193,0.010000000000000002,1.56869811535574,3.046174197867086e-06,0.03558079654121083,3.046174197867086e-06,99.94035072160989,0.0,3.3602439307323766
